Key_Dataset;Key_Run;Key_Fold;Number_unclassified;Percent_correct;Percent_incorrect;;;;;;
soybean;1;1;0;94,20289855;5,797101449;;;;;;
soybean;1;2;0;89,85507246;10,14492754;;;;;;
soybean;1;3;0;94,20289855;5,797101449;;;;;;
soybean;1;4;0;88,23529412;11,76470588;;;;;;
soybean;1;5;0;94,11764706;5,882352941;;;;;;
soybean;1;6;0;89,70588235;10,29411765;;;5,797101449;;;
soybean;1;7;0;92,64705882;7,352941176;;;10,14492754;;;
soybean;1;8;0;88,23529412;11,76470588;;;5,797101449;;;
soybean;1;9;0;88,23529412;11,76470588;;;11,76470588;;;
soybean;1;10;0;94,11764706;5,882352941;;;5,882352941;;;
;;;;;;;;10,29411765;;;
;;;0,106010016;;8,644501279;;;7,352941176;;;
;;;;;2,73499887;;;11,76470588;;;
;;;;;1,956500329;;;11,76470588;;;
;;;;;;;;5,882352941;;;
;;;;;;;;10,14492754;;;
soybean;2;1;0;89,85507246;10,14492754;;;7,246376812;;;
soybean;2;2;0;92,75362319;7,246376812;;;14,49275362;;;
soybean;2;3;0;85,50724638;14,49275362;;;8,823529412;;;
soybean;2;4;0;91,17647059;8,823529412;;;13,23529412;;;
soybean;2;5;0;86,76470588;13,23529412;;;4,411764706;;;
soybean;2;6;0;95,58823529;4,411764706;;;8,823529412;;;
soybean;2;7;0;91,17647059;8,823529412;;;11,76470588;;;
soybean;2;8;0;88,23529412;11,76470588;;;17,64705882;;;
soybean;2;9;0;82,35294118;17,64705882;;;8,823529412;;;
soybean;2;10;0;91,17647059;8,823529412;;;5,797101449;;;
;;;;;;;;8,695652174;;;
;;;;;10,54134697;;;11,5942029;;;
;;;;;0,10541347;;;16,17647059;;;
;;;;;;;;10,29411765;;;
;;;;;;;;11,76470588;;;
;;;;;;;;8,823529412;;;
;;;;;;;;8,823529412;;;
soybean;3;1;0;94,20289855;5,797101449;;;5,882352941;;;
soybean;3;2;0;91,30434783;8,695652174;;;14,70588235;;;
soybean;3;3;0;88,4057971;11,5942029;;;8,695652174;;;
soybean;3;4;0;83,82352941;16,17647059;;;8,695652174;;;
soybean;3;5;0;89,70588235;10,29411765;;;8,695652174;;;
soybean;3;6;0;88,23529412;11,76470588;;;5,882352941;;;
soybean;3;7;0;91,17647059;8,823529412;;;14,70588235;;;
soybean;3;8;0;91,17647059;8,823529412;;;8,823529412;;;
soybean;3;9;0;94,11764706;5,882352941;;;5,882352941;;;
soybean;3;10;0;85,29411765;14,70588235;;;7,352941176;;;
;;;;;;;;4,411764706;;;
;;;;;10,25575448;;;16,17647059;;;
;;;;;0,102557545;;;;;;
;;;;;;;;;;;
;;;;;;;;9,593456948;3,428257492;;
;;;;;;;;0,095934569;0,034282575;;0,010964099
;;;;;;;;;;;0,106898668
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
soybean;4;1;0;91,30434783;8,695652174;;;;;;
soybean;4;2;0;91,30434783;8,695652174;;;;;;
soybean;4;3;0;91,30434783;8,695652174;;;;;;
soybean;4;4;0;94,11764706;5,882352941;;;;;;
soybean;4;5;0;85,29411765;14,70588235;;;;;;
soybean;4;6;0;91,17647059;8,823529412;;;;;;
soybean;4;7;0;94,11764706;5,882352941;;;;;;
soybean;4;8;0;92,64705882;7,352941176;;;;;;
soybean;4;9;0;95,58823529;4,411764706;;;;;;
soybean;4;10;0;83,82352941;16,17647059;;;;;;
;;;;;;;;;;;
;;;;;8,932225064;;;;;;
;;;;;0,089322251;;;;;;
