Key_Dataset;Key_Run;Key_Fold;Number_unclassified;Percent_correct;Percent_incorrect;;;;;;
vote;1;1;0;97,72727273;2,272727273;;;;;;
vote;1;2;0;88,63636364;11,36363636;;;;;;
vote;1;3;0;100;0;;;;;;
vote;1;4;0;97,72727273;2,272727273;;;;;;
vote;1;5;0;97,72727273;2,272727273;;;2,272727273;;;
vote;1;6;0;95,34883721;4,651162791;;;11,36363636;;;
vote;1;7;0;97,6744186;2,325581395;;;0;;;
vote;1;8;0;100;0;;;2,272727273;;;
vote;1;9;0;95,34883721;4,651162791;;;2,272727273;;;
vote;1;10;0;93,02325581;6,976744186;;;4,651162791;;;
;;;;;;;;2,325581395;;;
;;;0,012160732;;3,678646934;0,036786469;;0;;;
;;;;;3,442440757;0,034424408;;4,651162791;;;
;;;;;2,462573769;;;6,976744186;;;
;;;;;;;;6,818181818;;;
;;;;;;;;11,36363636;;;
vote;2;1;0;93,18181818;6,818181818;;;2,272727273;;;
vote;2;2;0;88,63636364;11,36363636;;;2,272727273;;;
vote;2;3;0;97,72727273;2,272727273;;;0;;;
vote;2;4;0;97,72727273;2,272727273;;;9,302325581;;;
vote;2;5;0;100;0;;;0;;;
vote;2;6;0;90,69767442;9,302325581;;;4,651162791;;;
vote;2;7;0;100;0;;;4,651162791;;;
vote;2;8;0;95,34883721;4,651162791;;;2,325581395;;;
vote;2;9;0;95,34883721;4,651162791;;;6,818181818;;;
vote;2;10;0;97,6744186;2,325581395;;;0;;;
;;;;;;;;2,272727273;;;
;;;;;4,365750528;;;2,272727273;;;
;;;;;0,043657505;;;0;;;
;;;;;;;;4,651162791;;;
;;;;;;;;9,302325581;;;
;;;;;;;;4,651162791;;;
;;;;;;;;6,976744186;;;
vote;3;1;0;93,18181818;6,818181818;;;4,651162791;;;
vote;3;2;0;100;0;;;0;;;
vote;3;3;0;97,72727273;2,272727273;;;4,545454545;;;
vote;3;4;0;97,72727273;2,272727273;;;4,545454545;;;
vote;3;5;0;100;0;;;6,818181818;;;
vote;3;6;0;95,34883721;4,651162791;;;0;;;
vote;3;7;0;90,69767442;9,302325581;;;6,976744186;;;
vote;3;8;0;95,34883721;4,651162791;;;2,325581395;;;
vote;3;9;0;93,02325581;6,976744186;;;2,325581395;;;
vote;3;10;0;95,34883721;4,651162791;;;6,976744186;;;
;;;;;;;;4,651162791;;;
;;;;;4,15961945;;;;;;
;;;;;0,041596195;;;;;;
;;;;;;;;4,03012685;3,154142219;;
;;;;;;;;0,040301268;0,031541422;;0,010087436
;;;;;;;;;;;0,030213832
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
vote;4;1;0;100;0;;;;;;
vote;4;2;0;95,45454545;4,545454545;;;;;;
vote;4;3;0;95,45454545;4,545454545;;;;;;
vote;4;4;0;93,18181818;6,818181818;;;;;;
vote;4;5;0;100;0;;;;;;
vote;4;6;0;93,02325581;6,976744186;;;;;;
vote;4;7;0;97,6744186;2,325581395;;;;;;
vote;4;8;0;97,6744186;2,325581395;;;;;;
vote;4;9;0;93,02325581;6,976744186;;;;;;
vote;4;10;0;95,34883721;4,651162791;;;;;;
;;;;;;;;;;;
;;;;;3,916490486;;;;;;
;;;;;0,039164905;;;;;;
